#code,score
1a30,5.410975
1bcu,4.8820486
1bzc,6.1095543
1c5z,4.6988053
1e66,9.180659
1eby,8.635306
1g2k,8.6979685
1gpk,6.4697957
1gpn,7.5476193
1h22,8.167049
1h23,7.903056
1k1i,6.7241173
1lpg,7.6123867
1mq6,9.311614
1nc1,6.899165
1nc3,5.979881
1nvq,8.387144
1o0h,5.121113
1o3f,7.912178
1o5b,5.71982
1owh,6.7141676
1oyt,7.640492
1p1n,6.586542
1p1q,7.665909
1ps3,5.261731
1pxn,7.302178
1q8t,6.316378
1q8u,6.2175045
1qf1,7.9696074
1qkt,7.3166275
1r5y,4.5480313
1s38,4.553953
1sqa,7.176654
1syi,6.410331
1u1b,6.833457
1uto,3.0047944
1vso,5.8583503
1w4o,4.8351493
1y6r,8.597783
1yc1,6.3525567
1ydr,5.6530075
1ydt,7.154996
1z6e,9.223182
1z95,8.2445965
1z9g,5.8348503
2al5,6.6623354
2br1,6.6071153
2brb,5.8247056
2c3i,7.2226596
2cbv,5.9028387
2cet,8.291466
2fvd,7.8668323
2fxs,5.221432
2hb1,4.183882
2iwx,5.9906836
2j78,5.7952933
2j7h,6.894674
2p15,8.5676565
2p4y,8.001812
2pog,8.325309
2qbp,6.6231713
2qbq,7.476237
2qbr,5.92716
2qe4,7.715221
2qnq,6.050747
2r9w,5.3006573
2v00,4.0378118
2v7a,7.5116024
2vkm,7.996132
2vvn,7.426632
2vw5,6.437818
2w4x,5.18901
2w66,5.949833
2wbg,6.075125
2wca,6.6188073
2weg,6.4405217
2wer,7.8962097
2wn9,6.3545074
2wnc,6.7010503
2wtv,7.624349
2wvt,5.9388995
2x00,8.872712
2xb8,6.427837
2xbv,7.8898926
2xdl,4.9500937
2xii,8.822159
2xj7,5.4831753
2xnb,7.1877756
2xys,8.430676
2y5h,7.4261646
2yfe,6.7080393
2yge,5.8404293
2yki,8.763296
2ymd,5.9026246
2zb1,7.5769653
2zcq,7.1778297
2zcr,7.4473886
2zda,6.8175993
2zy1,5.9827685
3acw,5.651589
3ag9,6.8630633
3ao4,2.7220533
3arp,6.1830406
3arq,6.041139
3aru,4.9549313
3arv,6.3108068
3ary,5.1897016
3b1m,7.9561734
3b27,5.929321
3b5r,7.9258533
3b65,9.88408
3b68,8.90921
3bgz,6.395896
3bv9,5.820711
3cj4,5.8289967
3coy,5.8050857
3coz,6.044075
3d4z,5.665354
3d6q,3.8557508
3dd0,8.3928585
3dx1,5.4054823
3dx2,6.9848585
3dxg,3.437161
3e5a,7.584556
3e92,7.7954016
3e93,7.838799
3ebp,6.876317
3ehy,5.759776
3ejr,8.371956
3f3a,4.773964
3f3c,5.4596763
3f3d,5.461344
3f3e,7.129167
3fcq,4.8969655
3fur,7.9856863
3fv1,9.26863
3fv2,7.800189
3g0w,8.529313
3g2n,4.784419
3g2z,2.88823
3g31,3.3367817
3gbb,6.8619003
3gc5,7.6158237
3ge7,7.64341
3gnw,8.049223
3gr2,2.949892
3gv9,2.8976266
3gy4,5.1209793
3ivg,6.5013585
3jvr,5.833239
3jvs,6.153242
3jya,6.815187
3k5v,6.4175797
3kgp,3.7836223
3kr8,6.4341173
3kwa,4.6786923
3l7b,3.0047214
3lka,5.196729
3mss,5.0048223
3myg,7.8840923
3n76,6.016091
3n7a,4.7516074
3n86,5.1300654
3nq9,4.620628
3nw9,8.479784
3nx7,7.6719346
3o9i,10.905108
3oe4,6.600889
3oe5,6.875201
3ozs,6.701614
3ozt,6.488919
3p5o,7.365053
3prs,7.4702024
3pww,7.5785866
3pxf,4.6848254
3pyy,6.6020346
3qgy,6.245225
3qqs,5.026809
3r88,4.0245123
3rlr,8.214987
3rr4,5.843835
3rsx,5.3037643
3ryj,6.8615236
3syr,4.303421
3tsk,8.601754
3twp,4.420322
3u5j,5.8826756
3u8k,6.927481
3u8n,7.5754256
3u9q,4.877101
3udh,5.4560556
3ueu,5.042349
3uev,5.4574647
3uew,6.2098727
3uex,6.3034043
3ui7,7.3199277
3uo4,7.5688725
3up2,7.337121
3uri,6.4174886
3utu,9.10544
3uuo,6.8459644
3wtj,6.1275296
3wz8,5.84958
3zdg,6.1629753
3zso,4.358639
3zsx,3.0324726
3zt2,2.6146555
4abg,4.191684
4agn,3.980994
4agp,5.1336164
4agq,4.867186
4bkt,4.6386743
4cig,4.8767715
4ciw,4.8674526
4cr9,4.0950074
4cra,7.703704
4crc,8.067626
4ddh,4.0667186
4ddk,3.5786881
4de1,5.409758
4de2,4.0643044
4de3,4.5259576
4djv,6.1192083
4dld,5.5780926
4dli,6.4812183
4e5w,8.421708
4e6q,6.8520403
4ea2,7.8125715
4eky,4.72189
4eo8,8.113522
4eor,7.543902
4f09,7.664533
4f2w,10.757414
4f3c,9.952248
4f9w,7.2124305
4gfm,6.238111
4gid,7.5181684
4gkm,5.0935025
4gr0,8.703473
4hge,6.689017
4ih5,3.8349876
4ih7,3.9733932
4ivb,7.7104115
4ivc,8.347057
4ivd,8.249755
4j21,7.0572577
4j28,7.291896
4j3l,7.5159755
4jfs,5.472802
4jia,6.2928095
4jsz,5.805242
4jxs,4.68006
4k18,6.930662
4k77,6.0463777
4kz6,4.432526
4kzq,5.470482
4kzu,6.0603786
4llx,4.107073
4lzs,4.644082
4m0y,5.879348
4m0z,6.3682933
4mgd,6.4660974
4mme,6.1796355
4ogj,6.5297246
4owm,4.0083084
4pcs,6.9886403
4qac,8.598874
4qd6,7.0167985
4rfm,8.930741
4tmn,7.112684
4twp,8.559148
4ty7,8.244633
4u4s,5.13852
4w9c,4.7499075
4w9h,6.7559204
4w9i,5.8134813
4w9l,6.1887403
4wiv,5.9055614
4x6p,8.467976
5a7b,7.042872
5aba,4.5875983
5c28,5.172072
5c2h,8.899051
5dwr,10.345508
5tmn,5.972797
